Sample,GH
Nb_Ge_As,0.47796321
Cr_C_P,1.35832445
Hf_Si_As,0.69635355
Mn_Sn_As,0.56762005
Mo_C_P,1.23923625
Mo_Ge_P,0.84307181
Sc_C_As,1.46594838
Tc_Sn_P,0.29807728
W_Sn_P,0.47016927
Cr_Ge_As,0.73129563
Fe_Ge_As,0.71804792
Fe_Ge_P,0.29680433
Fe_Sn_P,0.14739983
Hf_C_As,1.58033381
Hf_C_P,1.10841477
Hf_Ge_As,0.56608677
Hf_Si_P,0.23102379
Mn_Ge_As,0.72394396
Nb_C_As,1.53478009
Nb_C_P,1.06070926
Nb_Sn_As,0.35248131
Ni_Ge_As,0.58550307
Os_Ge_P,0.43155317
Ta_Sn_As,0.48232499
Ta_Sn_P,0.07306614
Tc_Sn_N,0.00516768
Ti_Ge_As,0.54559152
V_C_As,1.46864457
V_C_P,1.10922185
V_Sn_As,0.38722293
Zr_C_As,1.51121111
Zr_C_P,0.99751821
Zr_Si_As,0.60474156
Ta_Ge_As,0.59270561
Ru_Si_As,0.83806595
Fe_Sn_As,0.55958115
Re_Ge_N,0.37323517
Re_Ge_P,0.66154625
Re_Sn_P,0.36124477
Ta_C_P,1.03464471
Ti_C_As,1.63500838
Ti_Ge_P,0.1645377
Zr_Ge_As,0.53682645
W_C_P,1.16229224
W_Ge_P,0.88663054
Hf_Ge_P,0.21606814
Ta_C_As,1.48318311
Tc_Sn_As,0.67108907
Ti_Si_As,0.67148791
Mo_Si_P,1.33068507
Nb_Si_N,-0.04078088
V_Ge_As,0.48873834
Mo_Sn_N,0.17969816
Fe_Si_As,0.97092027
Tc_Ge_As,0.93158824
W_Si_P,1.36364104
Tc_C_P,1.22306485
Nb_Ge_N,-0.28486047
Re_Sn_As,0.76090367
Cr_Sn_P,0.22847184
Re_Ge_As,0.99884458
Mn_Ge_N,0.45747256
Ti_Si_P,0.2627538
Os_Ge_As,0.90923604
Ti_C_P,1.28052472
Re_Si_N,0.80502484
Cr_Si_N,1.20786384
W_Sn_N,0.26365971
Mo_C_As,1.72353647
Nb_Sn_P,-0.05022771
Ru_Ge_P,-0.04714261
Mo_C_N,0.31001713
V_Si_As,0.67168236
Ta_Sn_N,-0.28019
Tc_C_As,1.71988366
Pd_Sn_As,-0.24197071
Ta_Ge_P,0.20221339
W_C_N,0.20287669
Re_Sn_N,-0.18247932
Nb_Si_As,0.67552724
Y_C_As,0.95033528
Mn_Ge_P,0.33641078
Co_Si_N,-0.54053016
Mo_Ge_As,1.04719859
V_C_N,-0.87833118
Ni_Si_As,0.84654637
Rh_Sn_As,-0.58409209
Sc_C_P,0.91176454
Mn_Si_P,0.50670392
Mn_Si_As,0.93844265
Pd_Si_As,-1.59013441
Ir_Ge_As,-0.64364603
Ta_Ge_N,-0.10431799
Sc_C_N,-1.92274204
Tc_C_N,-0.13145955
Fe_Si_P,0.42674081
Re_C_P,1.14470325
Cr_Si_P,0.69975987
Ta_Si_P,0.33299865
Ir_Ge_N,-1.69060741
Re_Si_As,1.31437749
Ti_C_N,-1.21901802
Os_Sn_P,0.3492459
Y_Sn_As,-1.92951981
Fe_C_As,0.89031772
Sc_Si_N,-1.55879888
Ti_Sn_P,0.112715
Ir_Sn_P,-0.45798981
Pt_Si_As,-1.35301543
Nb_Ge_P,0.08534366
Zr_Si_P,0.1762403
Mo_Sn_As,0.85510404
Ir_Si_As,-0.79435223
Pd_Si_P,-0.97842067
Mo_Si_As,1.52166185
Sc_Ge_N,-1.65442049
Os_Si_N,-1.35016873
Pt_Si_P,-2.22007145
Ta_Si_As,0.74817978
Ru_Si_N,-1.34461639
Ni_Sn_P,0.36436541
Ni_Ge_P,0.51846893
Y_Ge_N,-1.77748416
Co_Ge_N,-1.22976545
V_Ge_N,-0.43011545
Ru_Ge_N,-1.71571826
Os_Si_P,0.17831145
Zr_Ge_P,0.1371432
Ir_Sn_N,-2.53053843
Cr_C_As,1.8320269
Nb_Sn_N,-0.42217479
Ir_C_As,-2.84095027
Rh_Ge_As,-0.79321631
Co_C_P,-1.26598727
Pt_Ge_As,-0.98132213
Zr_Sn_As,0.53859146
Re_C_N,-0.30378847
Os_Sn_As,0.77572559
Y_Si_N,-1.51094807
Y_C_P,-0.60281223
Tc_Ge_P,0.26566822
Ir_Ge_P,-0.93205204
Ru_C_As,-1.23949804
Ti_Ge_N,-0.10765671
Re_Si_P,1.12644459
V_Sn_N,-0.79723167
Ir_Si_P,-0.91880399
Y_Sn_P,-3.56669585
Zr_Sn_N,-0.19048358
Zr_Sn_P,0.20722232
